	10369.Gastrectomy	10673.Gastrectomy	10733.Healthy	10354.Healthy	10183.Healthy	10519.Healthy	10463.Healthy	10037.Healthy	10647.Healthy	10341.Healthy	10360.Gastrectomy	10784.Healthy	10114.Healthy	10751.Gastrectomy	10132.Healthy	10297.Gastrectomy	10563.Gastrectomy	10056.Gastrectomy	10618.Healthy	10791.Gastrectomy	10554.Gastrectomy	10068.Gastrectomy	10208.Healthy	10258.Healthy	10599.Gastrectomy	10486.Healthy	10291.Gastrectomy	10340.Healthy	10105.Healthy	10558.Gastrectomy	10176.Gastrectomy	10304.Healthy	10672.Gastrectomy	10794.Healthy	10537.Healthy	10509.Gastrectomy	10659.Healthy	10060.Healthy	10623.Gastrectomy	10395.Gastrectomy	10197.Healthy	10455.Gastrectomy	10433.Gastrectomy	10782.Gastrectomy	10457.Gastrectomy	10319.Gastrectomy	10064.Gastrectomy	10025.Healthy	10234.Gastrectomy	10703.Gastrectomy	10742.Gastrectomy	10317.Healthy	10257.Gastrectomy	10207.Healthy	10058.Healthy	10250.Healthy	10850.Healthy	10684.Healthy	10562.Healthy	10451.Gastrectomy	10355.Gastrectomy	10080.Healthy	10106.Healthy	10112.Gastrectomy	10696.Gastrectomy	10048.Healthy	10156.Gastrectomy	10215.Healthy	10690.Gastrectomy	10192.Gastrectomy	10423.Gastrectomy	10465.Healthy	10219.Healthy	10632.Healthy	10540.Gastrectomy	10741.Healthy	10378.Healthy	10302.Healthy	10574.Gastrectomy	10776.Healthy	10807.Healthy	10107.Healthy	10501.Gastrectomy	10538.Gastrectomy	10244.Healthy	10231.Healthy	10166.Gastrectomy	10246.Healthy	10104.Gastrectomy	10189.Gastrectomy	10167.Gastrectomy	10680.Gastrectomy	10657.Healthy	10036.Healthy	10357.Healthy	10243.Gastrectomy	10100.Healthy	10543.Healthy	10698.Healthy	10226.Healthy	10205.Gastrectomy	10342.Gastrectomy	10321.Gastrectomy	10487.Healthy	10701.Healthy	10810.Gastrectomy
M00813	1.91921974441e-05	2.351444923213333e-05	3.688172988726667e-05	3.80324497749e-05	1.3354071050786666e-05	3.267883333436667e-05	6.514810430263332e-05	3.229705846833334e-05	1.6730770295466668e-05	3.970254292476667e-05	1.4374734290933335e-05	8.276496961729999e-06	2.0434890086466667e-05	1.1669775610333334e-05	5.52484755515e-05	2.0113940143266668e-05	3.313713476373333e-05	3.83575177318e-05	4.4766903327766665e-05	1.14987598607e-05	3.9435023548933336e-05	4.8498784779233334e-05	7.494937918503334e-05	5.01820834767e-06	2.4339542928966666e-05	4.55698440529e-05	5.5156511147266676e-05	2.8236658026866667e-05	3.974131216006667e-05	2.27417851366e-05	4.110296467163334e-05	6.717772279289999e-05	4.84790746698e-05	4.9400227276666675e-06	2.2734302063066667e-05	2.521914537636667e-05	2.60548187613e-05	0.00013079407661933335	1.716796929503333e-05	2.0211567503433336e-06	1.40510254193e-06	1.22708320456e-05	2.60856540656e-05	1.9120601827000002e-05	1.48050262609e-05	1.792164231166667e-05	1.1800967250533334e-05	9.121382121033332e-05	6.7712412162833334e-06	3.4326446509299998e-06	1.2841538886866665e-05	6.112185647636668e-05	2.13914162773e-05	2.5690925398866666e-05	8.527796588676667e-06	7.54973214128e-05	3.383166165896666e-06	1.76428629955e-05	1.53345787724e-05	3.94765459447e-05	2.25168964429e-05	7.793847615863333e-06	3.461032004583334e-05	2.049462735346667e-05	3.8057516665066665e-05	6.222358961020001e-05	2.125665038893333e-05	1.81885854165e-05	2.30213618307e-05	2.958835718046667e-05	3.04505709405e-05	2.61779435029e-05	4.740153465146666e-05	1.3359731902546667e-05	1.2940987893033334e-05	8.2144967775e-06	1.60253316921e-05	4.32180854848e-05	1.5433908628933334e-05	1.7159257779366666e-05	1.6570476598866667e-05	1.4504694763366665e-05	2.7002468708866668e-05	3.704018631976667e-05	1.7453775581966665e-05	9.19697447888e-06	1.0843421862036666e-05	4.0755413209966666e-06	3.210156906823333e-05	2.39982500433e-05	2.0593284993333333e-05	2.675389369113333e-05	3.079033969596666e-05	1.17548603144e-05	3.387679702696666e-05	3.8144619938733337e-05	7.645259905813333e-06	1.66870023035e-05	3.903139826596666e-05	3.2359581674666664e-05	1.89814541752e-05	4.0065234971633334e-05	1.3258552716326667e-05	4.86743673257e-05	1.4238163778933334e-05	2.62422445009e-06
M00816	0.00012993960923249998	0.0003497320568475	0.0002358577992405	0.00010800811817434997	3.32823946771e-05	0.00015070283491400006	0.000333179455704	0.00014007309798949998	0.0002795172470835	0.000430737726446	7.471770869875e-05	7.78818044431e-05	0.000160294829963	0.00014209255022500002	0.000184691592895	0.0003819744551675	0.0002605439432385	0.0002820839580085	0.00021688856305500002	9.729609962005e-05	0.000278112663451	0.0003785855679435	0.0003954651288095	7.913638884795001e-05	0.0002016058648035	0.00021665282459600006	0.0004050534239115	0.0002060928667545	0.0002313042894545	8.513258775329999e-05	0.00028853691795499987	0.0001403665925795	0.0003074675505735001	3.52722019177e-05	0.0001844510960335	0.0002077266509865	0.000246560440728	0.00017658725396099998	0.0002031533081495	7.156491626784999e-05	1.453441589135e-05	0.00013322790580500002	0.00016855559173650002	0.0002104840560785	4.064410521925e-05	0.00017573036899050002	9.253473387485e-05	0.00048428567502199993	0.00011789393894850002	0.000126655303439	7.11900408523e-05	0.0001531097456095	0.0003950566214735001	0.0002139938263985	0.000338644380867	0.00042629128654949987	5.743617620585e-05	0.00021255741563250006	9.48480248187e-05	0.0001577274632215	0.000280983974749	0.0001799345053945	0.0002163251046245	0.0001059243142015	0.000257597630228	0.0005145437990299999	0.0001421906241925	0.000214699745118	0.0001762707164255	0.0003354828726575	0.0001888955278275	0.0001150430843365	0.0001539406816245	0.0002401092145175	9.247522186385e-05	8.907861071840001e-05	0.000273909506824	0.0002109047688025	0.0003553118445565	8.837553905300001e-05	6.10023429751e-05	6.034843218575e-05	0.0001061951123805	0.00031674363797949993	0.0001640054642145	4.967837086225e-05	6.96143359792e-05	5.62980427576e-05	0.00015237526219800002	0.00027168283120650004	0.0002730543640185	0.0002121065587325	0.0001575445966475	0.0002374075003025	0.0003492324545765	0.00029410659858850004	0.00017311198520099998	0.0002513271404515	0.000164606405363	0.0002924048238535	0.0002374405719025	0.00037021380500750015	6.31575314757e-05	0.0002876490072235	7.893140811775e-05	6.790565427795001e-05
M00817	3.4713470843759995e-05	0.00014387520272380005	4.280836126878e-05	2.29620557246e-05	1.256646203572e-05	2.3428560331980003e-05	5.686891531176001e-05	3.223554420982e-05	4.26658229545e-05	7.068672772182e-05	1.1051510310219998e-05	1.729615377898e-05	2.7780632273820003e-05	3.25980013152e-05	3.71077421381e-05	9.77507496494e-05	5.128903047054e-05	7.60930120894e-05	5.2232901152e-05	1.6741897453499998e-05	6.995807697499999e-05	0.0001132664054026	6.933131203736e-05	1.928988237102e-05	5.047490465056e-05	3.4891547436160004e-05	9.304347287e-05	5.1803059544540006e-05	6.17560976228e-05	1.381742718006e-05	7.969759123000001e-05	2.9705963774440003e-05	7.595150300239999e-05	9.73569489494e-06	3.8276308208059996e-05	4.49284541113e-05	7.184958073906001e-05	0.0001026821004234	5.587335641907999e-05	3.2969598742140004e-05	3.1363777438439997e-06	3.274062592102e-05	3.540667012788e-05	5.293755720836e-05	6.856845112419999e-06	2.9885359586880006e-05	2.2398491805020002e-05	0.0001192915501424	2.7854795042420002e-05	3.14484966738e-05	9.967853416579997e-06	1.918600364792e-05	0.00011759066403539998	5.513874489448001e-05	0.0001232690065426	7.943930645534e-05	1.528284070602e-05	3.273573765372e-05	2.6127943437199995e-05	2.8945695493120003e-05	5.9921284304240006e-05	2.729062188688e-05	3.5256525622079996e-05	4.06500634712e-05	5.792394462044e-05	0.0001464267194422	3.67990953489e-05	6.0217726908e-05	3.02491960224e-05	6.901864261448e-05	4.3934271789859996e-05	3.05146185293e-05	3.91706207279e-05	4.648017229358e-05	1.880974738456e-05	1.568576925692e-05	0.000102969852593	6.198992275881999e-05	7.937298407826e-05	2.55673314626e-05	2.105106718302e-05	2.338101823688e-05	1.74901951061e-05	8.075198974520001e-05	4.19459328774e-05	1.3738612827319999e-05	1.846929871928e-05	1.0953334267761999e-05	3.255202158364e-05	5.538523697784001e-05	6.307782496788e-05	5.6865238319219995e-05	3.210074244532e-05	6.180071704938001e-05	7.706375208200001e-05	8.96331696868e-05	8.144711476570003e-05	6.0978783998020006e-05	3.038675150464e-05	7.06457073093e-05	5.4067957857499985e-05	7.91003763674e-05	2.3940454617879998e-05	3.762397663860001e-05	1.1089967553360001e-05	1.081786509094e-05
M00806	2.685517581866667e-05	0.0002426533349116667	2.017029509823333e-05	2.262015830591333e-05	1.5071166356533331e-05	3.104260953576667e-05	8.631308116919998e-05	5.052558733783333e-05	9.015245403146668e-05	7.689209118766668e-05	3.851479954026667e-05	2.41970466171e-05	1.842920019359333e-05	2.833034444433333e-05	0.0001068238570438	6.837301453323333e-05	7.203743219336667e-05	7.048841710586666e-05	7.44934393142e-05	1.5738253245433332e-05	0.00012254865481059994	2.63219168723e-05	0.00012479674058566665	1.843287110337333e-05	6.948225783739999e-05	3.52061563275e-05	0.00013941367385866666	2.9755975404866664e-05	3.285036511383333e-05	4.888968135393333e-05	0.00010383432797026668	5.414180749680001e-05	2.7288939918e-05	1.1441785222053333e-05	0.000383369945929	8.80893991986667e-05	0.00053809030752	3.228978993276667e-05	5.010630987910001e-05	2.442959058183333e-05	6.123379280451999e-05	4.035871079952e-05	2.6332365232900006e-05	6.960270282600001e-05	2.4850614529833332e-05	0.000309702829831	1.4742795213820002e-05	6.345931824063333e-05	0.00014611554359	3.4820961519400004e-05	9.679161803626667e-05	3.69042081297e-05	2.587733107216667e-05	8.762414531873334e-05	0.00011224354846893333	0.00016911479933566666	2.706456985269333e-05	1.3835283976233334e-05	1.2222361463633335e-05	2.2541635509499994e-05	7.12451933503e-05	0.0002539586601066667	7.721250158303332e-05	2.694993466713333e-05	0.00015875226399099995	9.79535892784e-05	0.00016073868856300005	5.8312505196399986e-05	0.00012054738981666668	2.82554992886e-05	0.00016306618795933333	2.7366232005566667e-05	4.831861069483334e-05	1.1471897385166665e-05	6.507546453046667e-05	1.12792531944e-05	5.374502337656667e-05	4.69187342627e-05	3.519598701516667e-05	2.2467712981366665e-05	2.7206778679666665e-05	7.809619011093332e-05	2.750463028776667e-05	3.14870768029e-05	2.15997450006e-05	2.8179026405046666e-05	9.9275510996e-06	2.5430756306793328e-05	7.747732224113333e-05	3.47144113674e-05	0.0001678042825663333	5.56962573208e-05	0.000183466654064	2.7500166477733337e-05	6.01380868343e-05	0.0001381716902727667	3.400987069608667e-05	2.21761832208e-05	6.527716814456666e-05	4.630315390303333e-05	4.96783666513e-05	0.00011786495898733335	6.424679506200001e-05	8.195747681746667e-05	1.23474054481e-05	1.9299505377466664e-05
M00807	3.884410917969999e-06	0.00011091346567953332	2.1091399778999996e-07	0.0	5.122360496133334e-07	0.0	6.0686160618433335e-06	0.0	2.4867396674966665e-06	2.0113967309966665e-07	2.0278567442300003e-06	0.0	0.0	1.50995022055e-06	2.516936063043333e-05	3.060217969283333e-06	2.363809104873333e-06	9.574658686006666e-06	1.0309913104436667e-06	4.6925674584e-07	2.71481685739e-05	2.801292349736666e-06	1.8380605144766667e-05	0.0	4.659804455144e-06	0.0	1.4273667962023333e-05	0.0	7.87046852558e-07	6.509944519433335e-07	5.052571774976667e-06	0.0	0.0	0.0	3.3199453738766664e-05	5.898038053343334e-06	8.12249928932e-06	2.3857594461799997e-06	1.097440880163333e-06	3.132545676016667e-06	0.0	2.995878149216667e-07	3.8149985052e-06	2.35036077586e-06	1.287382056443e-06	1.1342751393446667e-05	2.6327146101833336e-06	0.0	1.0118408911533334e-05	1.049663577760667e-06	1.5610735241533334e-05	0.0	1.7021766857700002e-07	1.206954791307e-05	3.0727538608233327e-07	1.1440002018166666e-05	0.0	0.0	0.0	2.98480710266e-06	3.297904735e-06	1.0094826457773334e-05	4.158486170776667e-06	7.051973512726665e-07	7.566240658423332e-06	3.59053939592e-06	1.552320038393333e-06	0.0	1.1934139116833335e-06	1.43249058105e-07	1.679139747513333e-05	0.0	8.153698750633334e-07	2.57622571424e-07	2.408060186106666e-06	0.0	1.2031506815299998e-06	1.0096540173800002e-06	1.156653287533e-06	1.5802024935856663e-06	7.529170882256665e-07	1.827347658463333e-06	2.7572300308300003e-06	4.069901946636667e-07	2.594126633026666e-06	3.351529540533334e-07	0.0	0.0	3.597695702576666e-06	3.54686702165e-07	5.674743659816666e-06	3.25029195678e-06	4.1900926258166666e-05	1.08730870098e-07	8.878399901233334e-07	9.416186900586666e-06	0.0	2.144233505973333e-06	4.1214607483333335e-06	6.815847223623334e-07	3.129406795773333e-06	1.301483520664e-05	0.0	1.36639561494e-05	0.0	4.308912460926667e-07
M00809	6.001274181633334e-05	9.918144328746664e-05	8.721112971206668e-05	0.0001000846913007	3.1341848777166664e-05	0.0001444967245	0.00020874689700566665	9.38487275467e-05	0.00019136531961433333	0.00023485603229900004	3.8454369751533334e-05	7.980199046510001e-05	9.963686228906668e-05	2.899404534433333e-05	9.718248426516667e-05	6.09783310917e-05	7.51111791073e-05	0.00014667093714599994	0.00016924326549566668	2.67409671698e-05	0.00010602775564566666	0.00010906365828399999	9.717675793276667e-05	6.45440556496e-05	0.00011906141442933333	9.959303398056667e-05	0.00010811039938633334	8.678509054523334e-05	0.00010618277222866668	2.05461479276e-05	0.00015378411033533333	8.92740654829e-05	0.00016767315756799998	2.8364045206933332e-05	0.0001506907786746667	5.0890779828999995e-05	0.000150401356376	6.732823094786667e-05	0.0001285823915243333	0.00010204985779396667	5.8489442634633335e-05	3.8966312492866665e-05	0.00013433702227866668	8.43570847247e-05	2.9845263475533332e-05	4.57173893279e-05	2.92111344292e-05	0.0002212927312853333	6.34203949621e-05	5.2825474359733334e-05	4.4396416792000015e-05	8.488120360359999e-05	5.5145136603333335e-05	8.934249945586668e-05	0.00011576242635533336	0.00015666720043666668	2.871067606586666e-05	7.51397835168e-05	4.729570948956666e-05	5.44108805447e-05	0.00013656774104066664	0.00010522264569586666	7.04068940261e-05	0.00010718845642100001	9.60921621712e-05	0.0002683615801636667	9.653173868793332e-05	6.045313670286668e-05	8.518434841266668e-05	8.896504582636668e-05	3.71120295416e-05	6.56451215525e-05	3.23776100914e-05	0.00010716802417466666	0.00014677898474176664	0.0001375065761052	0.0002607345893653333	9.95367442724e-05	0.0001820004180853333	5.9543925233533325e-05	4.916750824306667e-05	0.00012908297925693334	7.330019009516666e-05	6.35917329672e-05	4.390923218440001e-05	2.0255621501466666e-05	6.142512923379999e-05	8.690443799643332e-05	0.00015752579469266667	7.010822947803334e-05	0.0001433521715573333	6.781218519633332e-05	0.00010097942218203332	0.00013209860813599998	0.000169493567626	0.00017979202729499996	0.0001366851777463	0.00012105562386190002	0.00014717815471799995	0.00013233740771166668	6.117421546506668e-05	0.00010152572094033334	5.9836547954166675e-05	9.01398660786e-05	4.35866145486e-05	5.19392084562e-05
M00711	0.0	1.655791468215e-05	1.5261732411200001e-06	3.136489392575e-05	7.895767176404999e-06	0.0	2.306810181995e-07	2.5885264157299998e-06	3.14176429723e-07	1.503928499895e-05	8.412806121515001e-06	4.996038184685e-07	3.580514882985e-06	2.688989690565e-05	2.31496639452e-05	1.552431242405e-06	4.670833361059999e-06	4.540099657225e-06	6.19909256058e-05	4.18953107945e-06	3.1004918169950005e-06	2.75574050296e-07	3.80657090778e-06	1.0757814801939999e-05	5.256367958390001e-05	6.86837699668e-07	4.405794428835e-06	1.91873911899e-06	2.80007417767e-07	6.69257072417e-05	1.83635714158e-05	0.0	1.5287755916200001e-06	0.0	4.113747045219999e-06	1.2382413131344998e-06	1.58373859874e-06	1.3486016943150002e-06	1.21009014404e-05	2.918397364835e-06	8.16191719499e-05	5.161989261365e-05	0.0	3.65749285188e-05	5.93822725819e-06	1.70825871461e-05	1.366607509011e-06	1.568559025095e-05	3.2038895005250007e-06	1.66273051195e-05	8.186118523815e-05	2.599070726329999e-07	3.7750094541199996e-06	2.1164074874e-06	2.899821466605e-05	1.1706381171475e-06	2.084424670235e-05	9.184248591634998e-07	0.0	2.54483267964e-06	3.5089699759550002e-06	1.445658761205e-05	1.2564658937265002e-06	1.354621144375e-06	3.61812041605e-06	0.0	5.990204467165e-05	7.48035596455e-05	1.585000763865e-05	7.835860561089998e-07	1.8049144627100001e-07	1.2302235043780001e-06	3.211287333435e-06	4.015845940125e-06	6.021538121695e-05	1.93678637547e-05	0.0	1.22240431913e-05	1.0721980641115e-06	1.011155560938e-06	5.318141509515e-05	6.45531948145e-05	1.17975188159e-05	1.7451840766549999e-06	0.0	3.60437642642e-05	1.6010195464500004e-06	4.737694407695e-06	6.346754495585e-05	1.060696543749e-05	3.085922305325e-05	7.674118980625e-06	1.8995357998550003e-06	7.55661339798e-06	0.0	1.0014195459934999e-06	1.09678706412e-05	6.11164497564e-07	6.842589486714999e-06	5.459456847850002e-06	1.7984402780849998e-06	2.73966296555e-06	4.29457899349e-05	4.5245060247349996e-07	1.69286168028e-07	5.755677096730001e-06
M00712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.877252548195e-05	0.0	0.0	0.0	5.840050350814999e-07	2.56535766616e-05	4.093420812610001e-06	0.0	0.0	6.297657759029999e-07	0.0	5.0233498918199995e-06	0.0	0.0	3.088040734155e-05	0.0	0.0	3.66946818912e-06	3.18935304697e-06	0.0	0.0	0.0	3.76710758493e-06	0.0	0.0	0.0	0.0	1.711236984885e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.875292297320002e-07	1.7044645099e-05	0.0	0.0	4.800189984985e-07	0.0	0.0	0.0	4.369057132720001e-05	0.0	3.51389530118e-05	0.0	0.0	0.0	3.759149169665e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.084447466788e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010397689044799997	0.0	4.1213758487350015e-06	0.0	1.1929427854200002e-06	3.1445517823049998e-06	0.0	0.0	1.829070224045e-05	2.7709891122349997e-06	0.0	0.0	0.0	0.0	2.3195783887950003e-06	1.482269475205e-05	0.0	0.0	9.64364899506e-06	0.0	5.447894981385e-06	0.0	3.80434133454e-07	0.0	0.0
M00715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.829299102534998e-07	1.7501175432825006e-05	0.0	0.0	0.0	1.971890646745e-06	0.0	3.140422992760001e-05	0.0	0.0	1.07284410195e-05	0.0	0.0	0.0	6.3207904788699995e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4006538962214999e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.6933561457865e-05	0.0	0.0	0.0	0.0	0.0	2.36136453059e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4382023732e-06	0.0	4.190626933004999e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.034080070358501e-06	0.0	0.0	9.386548470295e-06	0.0	5.308964699e-06	0.0	0.0	0.0	0.0
M00821	6.821256612725e-05	2.6463626889250008e-05	5.929862661350003e-05	5.81887821815e-05	8.147357391825e-05	5.863158888425001e-05	3.592530261825e-05	7.29794739455e-05	6.875849803825e-05	5.644490681625e-05	6.647321542800001e-05	0.0001173148617925	7.624013181875e-05	6.6550481161e-05	6.24751993455e-05	3.0750024845e-05	5.1068161551e-05	4.6478562136750015e-05	6.158966175025e-05	7.706586856975001e-05	3.7175720211134995e-05	8.510373328325e-05	3.6407466964499985e-05	0.0001256487937165	5.4489351194e-05	6.9123067231e-05	3.808038554975e-05	4.9602704176000005e-05	4.895614238975e-05	8.15227902893065e-05	4.916214076875e-05	3.94000510185e-05	4.132932372949999e-05	8.356677841525003e-05	7.093020356975e-06	7.584908526999999e-05	1.6722473365825e-05	1.53765488466e-05	7.524399654075e-05	7.72997526925e-05	8.740810758575003e-05	6.959905343625001e-05	5.41769484205e-05	7.9540752896e-05	7.9793494145e-05	4.2452720959e-05	6.42264520735e-05	3.1097511786e-05	6.7285412352489e-05	7.1714540785e-05	7.312637638125e-05	6.87280169265e-05	9.531027242125e-05	6.502877280300001e-05	4.742253730575e-05	4.97488640655e-05	6.521231848075e-05	5.14428111895e-05	0.00010834293214475	6.445505747075e-05	5.815379247925e-05	7.6082414469e-06	7.88570211825e-05	6.853164077325e-05	4.78013314185e-05	3.004726340375e-05	5.357197660375e-05	5.976431823275e-05	6.46103367995e-05	4.879124883375001e-05	4.513860234925002e-05	9.122629101025e-05	8.438506230075e-05	6.054003326550003e-05	6.762772328975003e-05	6.6100283025875e-05	5.99351904245e-05	6.429715023050001e-05	7.52462739215e-05	0.00010977645782275	8.061038227125e-05	5.736120227325e-05	0.0001089699788705	4.824503857600001e-05	7.58910992925e-05	0.000111778843143	6.6783450644e-05	0.00011435446048325	5.932862272300002e-05	5.080071559725001e-05	4.419008327625e-05	5.6690090239525e-05	7.992186506999999e-05	4.7577777808e-05	4.13395954035e-05	3.7602870431e-05	4.321122317449999e-05	9.1388648622e-05	6.378423348625e-05	6.417636809625e-05	7.598199423525e-05	4.78442540495e-05	7.41425325325e-05	5.03577413585e-05	0.00010228984943175	8.869351782725e-05
